"season_end_year","matchweek","date","home","away","p_home","p_draw","p_away"
2027,2,"2026-08-28","Crystal Palace","Manchester City",0.1985,0.2451,0.5563
2027,2,"2026-08-29","AFC Bournemouth","Everton",0.4711,0.2666,0.2623
2027,2,"2026-08-29","Coventry City","Hull City",0.5538,0.2317,0.2144
2027,2,"2026-08-29","Liverpool","Nottingham Forest",0.5212,0.2363,0.2425
2027,2,"2026-08-29","Tottenham Hotspur","Newcastle United",0.3473,0.2477,0.4051
2027,2,"2026-08-30","Chelsea","Brighton & Hove Albion",0.4227,0.2538,0.3235
2027,2,"2026-08-30","Leeds United","Brentford",0.4345,0.2599,0.3056
2027,2,"2026-08-30","Manchester United","Ipswich Town",0.6382,0.2009,0.1609
2027,2,"2026-08-30","Sunderland","Fulham",0.3681,0.2945,0.3374
2027,2,"2026-08-31","Aston Villa","Arsenal",0.2213,0.2577,0.5211
