"season_end_year","matchweek","date","home","away","p_home","p_draw","p_away"
2027,3,"2026-08-29","AFC Bournemouth","Everton",0.4708,0.2673,0.2619
2027,3,"2026-08-29","Coventry City","Hull City",0.5529,0.232,0.2151
2027,3,"2026-08-29","Liverpool","Nottingham Forest",0.5201,0.2369,0.243
2027,3,"2026-08-29","Tottenham Hotspur","Newcastle United",0.3466,0.248,0.4054
2027,3,"2026-08-30","Chelsea","Brighton & Hove Albion",0.4221,0.2542,0.3237
2027,3,"2026-08-30","Leeds United","Brentford",0.4339,0.2603,0.3058
2027,3,"2026-08-30","Manchester United","Ipswich Town",0.6371,0.2015,0.1615
2027,3,"2026-08-30","Sunderland","Fulham",0.3676,0.2948,0.3375
2027,3,"2026-08-31","Aston Villa","Arsenal",0.2211,0.2581,0.5208
2027,3,"2026-09-04","Ipswich Town","Liverpool",0.2297,0.2195,0.5508
